season,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form
2005-2006,Chelsea,38,29,4,5,72,22,50,91,19,19,47,9,25,13,18,1,0,11,3,5,"L,L,W,W,W,W,D,W,L,W,W,W,L,W,D,D,W,W,W,W,W,W,W,W,W,W,L,W,D,W,W,W,W,W,W,W,W,W"
2005-2006,Man Utd,38,25,8,5,72,34,38,83,19,19,37,8,35,26,13,5,1,12,3,4,"W,D,L,W,D,W,W,W,W,W,W,W,W,W,L,W,L,D,W,D,W,W,W,D,W,W,W,W,L,D,W,W,L,D,D,W,W,W"
2005-2006,Liverpool,38,25,7,6,57,25,32,82,19,19,32,8,25,17,15,3,1,10,4,5,"W,W,W,W,W,W,W,W,W,L,D,W,W,W,L,L,D,L,W,D,W,W,W,W,W,W,W,W,W,W,L,W,L,D,D,D,W,D"
2005-2006,Arsenal,38,20,7,11,68,31,37,67,19,19,48,13,20,18,14,3,2,6,4,9,"W,W,W,D,W,D,L,W,W,W,W,L,L,D,W,L,L,W,D,D,W,W,L,L,L,W,W,W,D,W,L,W,D,W,L,W,L,W"
2005-2006,Spurs,38,18,11,9,53,38,15,65,19,19,31,16,22,22,12,5,2,6,6,7,"L,W,D,L,W,W,L,W,W,L,W,D,D,W,L,D,L,W,W,L,W,D,W,W,W,D,L,D,D,W,W,W,D,D,L,D,W,W"
2005-2006,Blackburn,38,19,6,13,51,42,9,63,19,19,31,17,20,25,13,3,3,6,3,10,"W,W,W,L,L,D,D,W,W,W,L,W,W,L,L,W,W,D,W,W,W,L,W,L,L,D,W,L,W,L,W,W,L,D,L,D,W,L"
2005-2006,Newcastle,38,17,7,14,47,42,5,58,19,19,28,15,19,27,11,5,3,6,2,11,"W,D,W,W,W,W,W,L,L,L,W,W,D,W,W,L,L,L,D,L,L,W,W,D,L,L,W,W,W,L,D,W,W,D,L,L,D,L"
2005-2006,Bolton,38,15,11,12,49,41,8,56,19,19,29,13,20,28,11,5,3,4,6,9,"W,D,L,W,D,L,L,L,L,L,W,W,L,W,D,D,D,W,D,D,L,D,W,D,W,L,W,W,W,L,L,W,W,D,W,W,L,D"
2005-2006,West Ham,38,16,7,15,52,55,-3,55,19,19,30,25,22,30,9,3,7,7,4,8,"W,W,L,L,W,L,D,L,W,L,L,D,W,W,W,W,W,L,L,L,D,L,W,L,W,L,D,W,L,W,L,D,D,W,W,L,D,W"
2005-2006,Wigan,38,15,6,17,45,52,-7,51,19,19,24,26,21,26,7,3,9,8,3,8,"L,L,L,W,L,D,D,L,W,W,L,D,L,D,D,W,L,L,L,W,W,W,L,L,L,L,L,W,W,W,W,W,W,D,W,W,L,L"
2005-2006,Everton,38,14,8,16,34,49,-15,50,19,19,22,22,12,27,8,4,7,6,4,9,"D,W,D,L,L,D,D,L,W,W,D,L,W,W,D,W,W,W,W,L,L,L,L,D,W,W,L,W,W,D,L,L,L,L,L,L,W,L"
2005-2006,Fulham,38,14,6,18,48,58,-10,48,19,19,31,21,17,37,13,2,4,1,4,14,"W,L,W,W,W,L,D,W,L,L,L,L,W,L,W,L,W,W,L,D,L,W,L,D,W,L,W,L,W,D,L,L,L,D,W,L,L,D"
2005-2006,Charlton,38,13,8,17,41,55,-14,47,19,19,22,21,19,34,8,4,7,5,4,10,"L,L,L,W,L,D,D,W,L,W,D,D,D,L,W,L,D,D,W,L,W,L,L,W,L,L,L,L,L,W,D,L,W,L,W,W,W,W"
2005-2006,Middlesbrough,38,12,9,17,48,58,-10,45,19,19,28,30,20,28,7,5,7,5,4,10,"L,D,D,L,W,L,L,W,W,L,L,W,W,W,L,W,L,L,D,D,L,D,L,L,D,W,L,W,L,D,W,L,D,W,L,W,L,D"
2005-2006,Man City,38,13,4,21,43,48,-5,43,19,19,26,20,17,28,9,2,8,4,2,13,"L,L,L,W,L,L,L,L,L,L,W,L,W,L,W,L,W,L,D,L,L,W,L,W,L,D,L,W,L,W,W,L,L,D,W,W,W,D"
2005-2006,Aston Villa,38,10,12,16,42,55,-13,42,19,19,20,20,22,35,6,6,7,4,6,9,"W,L,L,L,W,D,L,D,L,L,W,D,L,W,D,D,L,W,D,D,W,L,D,D,W,W,L,L,L,W,L,L,D,L,W,D,L,D"
2005-2006,Portsmouth,38,10,8,20,37,62,-25,38,19,19,17,24,20,38,5,7,7,5,1,13,"L,W,W,L,W,D,D,W,W,W,L,L,L,L,D,L,L,L,W,L,D,W,L,L,L,L,L,W,L,D,D,L,D,W,L,D,L,L"
2005-2006,Birmingham,38,8,10,20,28,50,-22,34,19,19,19,20,9,30,6,5,8,2,5,12,"L,D,D,W,L,D,W,D,L,L,D,L,W,L,L,D,W,L,W,L,D,L,L,W,L,W,L,L,L,L,L,D,D,L,W,L,L,D"
2005-2006,West Brom,38,7,9,22,31,58,-27,30,19,19,21,24,10,34,6,2,11,1,7,11,"D,L,L,D,L,D,L,L,L,D,L,L,L,W,D,L,W,L,L,W,L,L,W,D,D,W,L,L,L,W,L,L,D,L,L,L,W,D"
2005-2006,Sunderland,38,3,6,29,26,69,-43,15,19,19,12,37,14,32,1,4,14,2,2,15,"L,W,L,L,L,D,D,L,L,L,L,L,L,D,L,L,W,L,L,L,D,L,L,L,L,L,L,L,L,L,D,W,D,L,L,L,L,L"
2004-2005,Chelsea,38,29,8,1,72,15,57,95,19,19,35,6,37,9,14,5,0,15,3,1,"D,W,W,W,W,D,D,W,W,W,W,W,D,W,W,W,W,W,W,W,W,D,W,W,D,W,W,W,W,L,W,W,D,D,W,W,W,W"
2004-2005,Arsenal,38,25,8,5,87,36,51,83,19,19,54,19,33,17,13,5,1,12,3,4,"L,W,W,W,W,D,W,W,W,W,D,W,W,L,W,L,D,W,W,W,W,D,W,L,D,W,D,D,L,W,W,W,D,W,W,W,W,W"
